英文名,中文名,简称,外网价格,buff最低价格,最新价格,buff在售数量,饰品类型,比率
P90 | Nostalgia (Battle-Scarred),P90 | 往日行动 (战痕累累),P90 | 往日行动,5.63,27.65,27.55,13.0,SMG,4.911190053285968
StatTrak™ P250 | See Ya Later (Well-Worn),P250（StatTrak™） | 生化短吻鳄 (破损不堪),P250（StatTrak™） | 生化短吻鳄,13.32,65.42,65.32,13.0,Pistol,4.911411411411412
★ Navaja Knife | Rust Coat (Battle-Scarred),折刀（★） | 外表生锈 (战痕累累),折刀（★） | 外表生锈,108.52,533.0,532.5,59.0,Knife,4.911537043862882
★ Navaja Knife | Marble Fade (Minimal Wear),折刀（★） | 渐变大理石 (略有磨损),折刀（★） | 渐变大理石,207.78,1020.52,1020.02,9.0,Knife,4.911541053036866
Five-SeveN | Fowl Play (Well-Worn),FN57 | 狩猎利器 (破损不堪),FN57 | 狩猎利器,2.83,13.9,13.8,20.0,Pistol,4.911660777385159
M4A4 | Radiation Hazard (Field-Tested),M4A4 | 辐射危机 (久经沙场),M4A4 | 辐射危机,24.0,117.88,117.38,275.0,Rifle,4.911666666666666
★ Shadow Daggers | Night (Field-Tested),暗影双匕（★） | 噩梦之夜 (久经沙场),暗影双匕（★） | 噩梦之夜,102.81,505.0,504.5,21.0,Knife,4.911973543429627
★ StatTrak™ Falchion Knife | Bright Water (Field-Tested),弯刀（★ StatTrak™） | 澄澈之水 (久经沙场),弯刀（★ StatTrak™） | 澄澈之水,158.69,779.5,779.0,14.0,Knife,4.912092759468146
MAC-10 | Toybox (Factory New),MAC-10 | 玩具盒子 (崭新出厂),MAC-10 | 玩具盒子,14.23,69.9,69.8,31.0,SMG,4.912157413914266
★ Shadow Daggers | Autotronic (Minimal Wear),暗影双匕（★） | 自动化 (略有磨损),暗影双匕（★） | 自动化,137.82,677.0,676.5,25.0,Knife,4.912204324481207
AWP | Wildfire (Well-Worn),AWP | 野火 (破损不堪),AWP | 野火,68.19,335.0,334.5,13.0,Sniper Rifle,4.912743804076844
★ Flip Knife | Stained (Minimal Wear),折叠刀（★） | 人工染色 (略有磨损),折叠刀（★） | 人工染色,261.55,1285.0,1284.5,38.0,Knife,4.91301854329956
Tec-9 | Nuclear Threat (Battle-Scarred),Tec-9 | 核子威慑 (战痕累累),Tec-9 | 核子威慑,24.4,119.88,119.38,10.0,Pistol,4.913114754098361
★ Karambit | Damascus Steel (Field-Tested),爪子刀（★） | 大马士革钢 (久经沙场),爪子刀（★） | 大马士革钢,1007.46,4950.0,4949.5,88.0,Knife,4.913346435590495
★ StatTrak™ Skeleton Knife | Stained (Factory New),骷髅匕首（★ StatTrak™） | 人工染色 (崭新出厂),骷髅匕首（★ StatTrak™） | 人工染色,915.16,4496.5,4496.0,4.0,Knife,4.91334848551073
P250 | Crimson Kimono (Field-Tested),P250 | 日式深红涂装 (久经沙场),P250 | 日式深红涂装,23.79,116.89,116.39,13.0,Pistol,4.913408995376209
★ Flip Knife | Black Laminate (Well-Worn),折叠刀（★） | 黑色层压板 (破损不堪),折叠刀（★） | 黑色层压板,291.02,1430.0,1429.5,62.0,Knife,4.913751632190228
★ Survival Knife | Slaughter (Factory New),求生匕首（★） | 屠夫 (崭新出厂),求生匕首（★） | 屠夫,385.64,1895.0,1894.5,52.0,Knife,4.913909345503579
★ Skeleton Knife | Blue Steel (Field-Tested),骷髅匕首（★） | 蓝钢 (久经沙场),骷髅匕首（★） | 蓝钢,691.5,3398.0,3397.5,63.0,Knife,4.913955169920463
StatTrak™ MAG-7 | Petroglyph (Factory New),MAG-7（StatTrak™） | 石雕 (崭新出厂),MAG-7（StatTrak™） | 石雕,3.61,17.74,17.64,45.0,Shotgun,4.914127423822714
StatTrak™ Glock-18 | Bullet Queen (Factory New),格洛克 18 型（StatTrak™） | 子弹皇后 (崭新出厂),格洛克 18 型（StatTrak™） | 子弹皇后,199.22,979.0,978.5,51.0,Pistol,4.914165244453368
MP9 | Stained Glass (Factory New),MP9 | 彩绘玻璃 (崭新出厂),MP9 | 彩绘玻璃,97.67,480.0,479.5,148.0,SMG,4.9145080372683525
★ Flip Knife | Safari Mesh (Battle-Scarred),折叠刀（★） | 狩猎网格 (战痕累累),折叠刀（★） | 狩猎网格,183.12,900.0,899.5,18.0,Knife,4.91480996068152
★ Gut Knife | Urban Masked (Battle-Scarred),穿肠刀（★） | 都市伪装 (战痕累累),穿肠刀（★） | 都市伪装,106.5,523.5,523.0,3.0,Knife,4.915492957746479
★ M9 Bayonet | Bright Water (Well-Worn),M9 刺刀（★） | 澄澈之水 (破损不堪),M9 刺刀（★） | 澄澈之水,609.25,2994.9,2994.4,10.0,Knife,4.915716044316783
★ Ursus Knife | Ultraviolet (Well-Worn),熊刀（★） | 致命紫罗兰 (破损不堪),熊刀（★） | 致命紫罗兰,219.69,1080.0,1079.5,24.0,Knife,4.916018025399427
SCAR-20 | Magna Carta (Minimal Wear),SCAR-20 | 大宪章 (略有磨损),SCAR-20 | 大宪章,6.1,29.99,29.89,48.0,Sniper Rifle,4.916393442622951
StatTrak™ Desert Eagle | Directive (Factory New),沙漠之鹰（StatTrak™） | 指挥 (崭新出厂),沙漠之鹰（StatTrak™） | 指挥,30.51,150.0,149.5,13.0,Pistol,4.916420845624385
★ Paracord Knife | Safari Mesh (Minimal Wear),系绳匕首（★） | 狩猎网格 (略有磨损),系绳匕首（★） | 狩猎网格,140.01,688.4,687.9,43.0,Knife,4.916791657738733
StatTrak™ P90 | Asiimov (Factory New),P90（StatTrak™） | 二西莫夫 (崭新出厂),P90（StatTrak™） | 二西莫夫,188.13,925.0,924.5,67.0,SMG,4.916812842183597
FAMAS | Afterimage (Field-Tested),法玛斯 | 残影 (久经沙场),法玛斯 | 残影,28.47,139.99,139.49,41.0,Rifle,4.9171057253249035
USP-S | Target Acquired (Factory New),USP 消音版 | 锁定 (崭新出厂),USP 消音版 | 锁定,166.54,819.0,818.5,153.0,Pistol,4.917737480485169
StatTrak™ FAMAS | Roll Cage (Factory New),法玛斯（StatTrak™） | 防滚架 (崭新出厂),法玛斯（StatTrak™） | 防滚架,83.47,410.5,410.0,44.0,Rifle,4.917934587276866
