英文名,中文名,简称,外网价格,外网数量,buff最低价格,最新价格,buff在售数量,饰品类型,比率
★ Falchion Knife | Rust Coat (Battle-Scarred),弯刀（★） | 外表生锈 (战痕累累),弯刀（★） | 外表生锈,134.0,1.0,616.5,616.0,132.0,Knife,4.600746268656716
AK-47 | Nightwish (Factory New),AK-47 | 夜愿 (崭新出厂),AK-47 | 夜愿,158.66,2.0,730.0,729.5,427.0,Rifle,4.601033656876339
★ Karambit | Ultraviolet (Field-Tested),爪子刀（★） | 致命紫罗兰 (久经沙场),爪子刀（★） | 致命紫罗兰,869.35,1.0,4000.0,3999.5,124.0,Knife,4.601138781848507
USP-S | Cortex (Minimal Wear),USP 消音版 | 脑洞大开 (略有磨损),USP 消音版 | 脑洞大开,5.19,29.0,23.88,23.78,2889.0,Pistol,4.601156069364161
AK-47 | Bloodsport (Field-Tested),AK-47 | 血腥运动 (久经沙场),AK-47 | 血腥运动,99.64,1.0,458.5,458.0,1265.0,Rifle,4.601565636290647
StatTrak™ M4A1-S | Flashback (Field-Tested),M4A1 消音型（StatTrak™） | 闪回 (久经沙场),M4A1 消音型（StatTrak™） | 闪回,4.9,5.0,22.55,22.45,273.0,Rifle,4.6020408163265305
StatTrak™ P90 | Chopper (Well-Worn),P90（StatTrak™） | 夺命器 (破损不堪),P90（StatTrak™） | 夺命器,2.39,1.0,11.0,10.9,11.0,SMG,4.602510460251046
Galil AR | Rocket Pop (Factory New),加利尔 AR | 火箭冰棒 (崭新出厂),加利尔 AR | 火箭冰棒,8.48,1.0,39.03,38.93,334.0,Rifle,4.602594339622641
M4A1-S | Blue Phosphor (Factory New),M4A1 消音型 | 澜磷 (崭新出厂),M4A1 消音型 | 澜磷,379.16,22.0,1745.38,1744.88,703.0,Rifle,4.60328093680768
USP-S | Printstream (Minimal Wear),USP 消音版 | 印花集 (略有磨损),USP 消音版 | 印花集,146.8,3.0,675.87,675.37,1037.0,Pistol,4.604019073569482
★ StatTrak™ Skeleton Knife | Slaughter (Factory New),骷髅匕首（★ StatTrak™） | 屠夫 (崭新出厂),骷髅匕首（★ StatTrak™） | 屠夫,1390.02,1.0,6400.0,6399.5,17.0,Knife,4.604250298556855
P250 | Visions (Minimal Wear),P250 | 迷人幻象 (略有磨损),P250 | 迷人幻象,11.9,89.0,54.8,54.7,466.0,Pistol,4.605042016806722
StatTrak™ Galil AR | Kami (Factory New),加利尔 AR（StatTrak™） | 神祗 (崭新出厂),加利尔 AR（StatTrak™） | 神祗,4.71,1.0,21.69,21.59,279.0,Rifle,4.605095541401274
P90 | Chopper (Factory New),P90 | 夺命器 (崭新出厂),P90 | 夺命器,2.28,2.0,10.5,10.4,337.0,SMG,4.605263157894737
★ Flip Knife | Bright Water (Field-Tested),折叠刀（★） | 澄澈之水 (久经沙场),折叠刀（★） | 澄澈之水,313.77,1.0,1445.0,1444.5,101.0,Knife,4.605284125314721
PP-Bizon | Judgement of Anubis (Battle-Scarred),PP-野牛 | 阿努比斯之审判 (战痕累累),PP-野牛 | 阿努比斯之审判,6.82,12.0,31.41,31.31,13.0,SMG,4.605571847507331
StatTrak™ FAMAS | Rapid Eye Movement (Battle-Scarred),法玛斯（StatTrak™） | 目皆转睛 (战痕累累),法玛斯（StatTrak™） | 目皆转睛,3.35,2.0,15.43,15.33,61.0,Rifle,4.605970149253731
R8 Revolver | Crazy 8 (Field-Tested),R8 左轮手枪 | 疯狂老八 (久经沙场),R8 左轮手枪 | 疯狂老八,1.32,107.0,6.08,6.07,1121.0,Pistol,4.6060606060606055
AK-47 | Bloodsport (Factory New),AK-47 | 血腥运动 (崭新出厂),AK-47 | 血腥运动,132.07,2.0,608.5,608.0,1572.0,Rifle,4.60740516392822
